day;article_number;polarity
08_04_2016;article_5;0.07777777777777778
08_04_2016;article_6;0.15126262626262627
10_04_2016;article_1;0.15126262626262627
10_04_2016;article_2;0.11185770750988143
10_04_2016;article_3;0.08119834710743802
10_04_2016;article_4;0.025769230769230766
10_04_2016;article_5;0.0611111111111111
10_04_2016;article_6;0.08119834710743802
10_04_2016;article_7;0.025769230769230766
10_04_2016;article_8;0.0611111111111111
10_04_2016;article_9;0.11185770750988143
10_04_2016;article_10;0.07777777777777778
10_04_2016;article_11;0.13613636363636364
10_04_2016;article_12;0.0822077922077922
10_04_2016;article_13;0.15098039215686274
10_04_2016;article_14;0.014285714285714287
10_04_2016;article_15;0.13634259259259257
10_04_2016;article_16;0.06805555555555556
10_04_2016;article_17;0.14005494505494506
10_04_2016;article_18;0.16666666666666669
10_04_2016;article_19;-0.05694444444444445
10_04_2016;article_20;0.05774147727272727
11_04_2016;article_1;-0.05666666666666666
11_04_2016;article_2;0.1833155080213904
11_04_2016;article_3;0.15126262626262627
11_04_2016;article_4;0.08119834710743802
11_04_2016;article_5;0.07777777777777778
11_04_2016;article_6;0.1833155080213904
11_04_2016;article_7;-0.05666666666666666
11_04_2016;article_8;0.08119834710743802
11_04_2016;article_9;0.025769230769230766
11_04_2016;article_10;0.0611111111111111
11_04_2016;article_11;0.1071969696969697
11_04_2016;article_12;0.07777777777777778
11_04_2016;article_13;0.15126262626262627
11_04_2016;article_14;0.0822077922077922
11_04_2016;article_15;0.15098039215686274
11_04_2016;article_16;0.014285714285714287
11_04_2016;article_17;0.13634259259259257
11_04_2016;article_18;0.16666666666666669
11_04_2016;article_19;-0.05694444444444445
11_04_2016;article_20;0.05774147727272727
12_04_2016;article_1;0.12204861111111108
12_04_2016;article_2;0.07142857142857141
12_04_2016;article_3;0.07603305785123966
12_04_2016;article_4;0.08652777777777777
12_04_2016;article_5;0.1485047846889952
12_04_2016;article_6;0.07142857142857141
12_04_2016;article_7;0.07603305785123966
12_04_2016;article_8;0.08652777777777777
12_04_2016;article_9;0.12204861111111108
12_04_2016;article_10;0.20102339181286552
12_04_2016;article_11;0.14107954545454543
12_04_2016;article_12;-0.14473684210526316
12_04_2016;article_13;0.06676136363636363
12_04_2016;article_14;0.0663888888888889
12_04_2016;article_15;-0.008321308321308315
12_04_2016;article_16;0.1833155080213904
12_04_2016;article_17;-0.05666666666666666
12_04_2016;article_18;-0.027380952380952377
12_04_2016;article_19;0.024074074074074067
12_04_2016;article_20;0.05774147727272727
13_04_2016;article_1;0.20476911976911974
13_04_2016;article_2;0.3194444444444445
13_04_2016;article_3;0.060987654320987655
13_04_2016;article_4;0.10689503732981996
13_04_2016;article_5;0.09132775119617226
13_04_2016;article_6;0.20476911976911974
13_04_2016;article_7;0.09132775119617226
13_04_2016;article_8;0.3194444444444445
13_04_2016;article_9;0.15714285714285714
13_04_2016;article_10;0.10689503732981996
13_04_2016;article_11;0.05488888888888889
13_04_2016;article_12;0.07142857142857141
13_04_2016;article_13;0.07603305785123966
13_04_2016;article_14;0.08652777777777777
13_04_2016;article_15;0.12204861111111108
13_04_2016;article_16;0.20102339181286552
13_04_2016;article_17;0.1485047846889952
13_04_2016;article_18;-0.038888888888888896
13_04_2016;article_19;-0.027380952380952377
13_04_2016;article_20;0.05774147727272727
14_04_2016;article_1;0.2823863636363636
14_04_2016;article_2;0.08927469135802468
14_04_2016;article_3;0.08181818181818182
14_04_2016;article_4;0.05949197860962568
14_04_2016;article_5;0.14673913043478262
14_04_2016;article_6;0.18915151515151515
14_04_2016;article_7;0.11959876543209876
15_04_2016;article_1;0.03166666666666667
15_04_2016;article_2;0.05059808612440191
15_04_2016;article_3;0.1869146005509642
15_04_2016;article_4;0.14990530303030303
15_04_2016;article_5;0.002474747474747473
15_04_2016;article_6;0.03166666666666667
15_04_2016;article_7;0.14990530303030303
15_04_2016;article_8;0.002474747474747473
15_04_2016;article_9;0.12420033670033671
15_04_2016;article_10;0.1869146005509642
15_04_2016;article_11;0.048068181818181815
15_04_2016;article_12;0.08927469135802468
15_04_2016;article_13;0.08181818181818182
15_04_2016;article_14;0.05949197860962568
15_04_2016;article_15;0.14673913043478262
15_04_2016;article_16;0.18915151515151515
15_04_2016;article_17;0.11959876543209876
15_04_2016;article_18;0.16026936026936026
15_04_2016;article_19;-0.026997245179063364
15_04_2016;article_20;0.06347222222222224
16_04_2016;article_1;0.2823863636363636
17_04_2016;article_1;0.01365740740740741
17_04_2016;article_2;-0.06888888888888886
18_04_2016;article_1;-0.021478420569329658
18_04_2016;article_2;0.18019480519480519
18_04_2016;article_3;0.1887698412698413
18_04_2016;article_4;-0.04614197530864197
18_04_2016;article_5;0.04825528007346189
18_04_2016;article_6;-0.021478420569329658
18_04_2016;article_7;0.04825528007346189
18_04_2016;article_8;0.18019480519480519
18_04_2016;article_9;-0.04614197530864197
18_04_2016;article_10;0.1887698412698413
18_04_2016;article_11;-0.09761679292929294
18_04_2016;article_12;0.01365740740740741
18_04_2016;article_13;-0.06888888888888886
18_04_2016;article_14;0.2823863636363636
18_04_2016;article_15;0.03166666666666667
18_04_2016;article_16;0.14990530303030303
18_04_2016;article_17;0.002474747474747473
18_04_2016;article_18;0.023611111111111104
18_04_2016;article_19;-0.025462962962962958
18_04_2016;article_20;0.015314940791131267
19_04_2016;article_1;0.09615384615384616
19_04_2016;article_2;0.09924812030075188
19_04_2016;article_3;0.10147058823529412
19_04_2016;article_4;-0.10197811447811451
19_04_2016;article_5;0.13645833333333335
19_04_2016;article_6;0.13645833333333335
19_04_2016;article_7;0.09615384615384616
19_04_2016;article_8;0.09924812030075188
19_04_2016;article_9;-0.10197811447811451
19_04_2016;article_10;0.10147058823529412
19_04_2016;article_11;-0.020544576196750108
19_04_2016;article_12;0.04825528007346189
19_04_2016;article_13;0.18019480519480519
19_04_2016;article_14;-0.04614197530864197
19_04_2016;article_15;0.1887698412698413
19_04_2016;article_16;-0.10186100131752307
19_04_2016;article_17;0.01365740740740741
19_04_2016;article_18;0.046666666666666676
19_04_2016;article_19;-0.062222222222222234
19_04_2016;article_20;0.015314940791131267
20_04_2016;article_1;0.09195238095238097
20_04_2016;article_2;0.10480769230769231
20_04_2016;article_3;0.0983201581027668
20_04_2016;article_4;0.18993055555555557
20_04_2016;article_5;0.13737373737373737
20_04_2016;article_6;0.0983201581027668
20_04_2016;article_7;0.1527777777777778
20_04_2016;article_8;0.13737373737373737
20_04_2016;article_9;0.10480769230769231
20_04_2016;article_10;0.18993055555555557
20_04_2016;article_11;0.08841575091575092
20_04_2016;article_12;0.05909090909090908
20_04_2016;article_13;0.13645833333333335
20_04_2016;article_14;0.09615384615384616
20_04_2016;article_15;0.09924812030075188
20_04_2016;article_16;-0.10197811447811451
20_04_2016;article_17;0.10147058823529412
20_04_2016;article_18;0.046666666666666676
20_04_2016;article_19;-0.062222222222222234
20_04_2016;article_20;0.015314940791131267
21_04_2016;article_1;-0.0038020833333333535
21_04_2016;article_2;-0.025974025974025972
21_04_2016;article_3;0.08550830889540569
21_04_2016;article_4;0.0720164609053498
21_04_2016;article_5;0.006798418972332021
21_04_2016;article_6;0.0983201581027668
21_04_2016;article_7;0.1527777777777778
21_04_2016;article_8;0.007083333333333336
22_04_2016;article_1;0.1722222222222222
22_04_2016;article_2;0.02754629629629629
22_04_2016;article_3;0.12468805704099824
22_04_2016;article_4;0.07859623015873016
22_04_2016;article_5;-0.08784722222222222
22_04_2016;article_6;0.12468805704099824
22_04_2016;article_7;0.02754629629629629
22_04_2016;article_8;0.1722222222222222
22_04_2016;article_9;-0.08784722222222222
22_04_2016;article_10;0.07859623015873016
22_04_2016;article_11;0.020833333333333336
22_04_2016;article_12;0.20232057416267943
22_04_2016;article_13;0.007083333333333336
22_04_2016;article_14;-0.0038020833333333535
22_04_2016;article_15;-0.025974025974025972
22_04_2016;article_16;0.08550830889540569
22_04_2016;article_17;0.0720164609053498
22_04_2016;article_18;-0.124354657687991
22_04_2016;article_19;0.1920995670995671
22_04_2016;article_20;0.015314940791131267
23_04_2016;article_1;0.1722222222222222
23_04_2016;article_2;0.02754629629629629
23_04_2016;article_3;0.12468805704099824
23_04_2016;article_4;0.07859623015873016
23_04_2016;article_5;-0.08784722222222222
23_04_2016;article_6;0.12468805704099824
23_04_2016;article_7;0.02754629629629629
23_04_2016;article_8;0.1722222222222222
